0 7 14 5468.75
1 7 2 5468.75
2 7 2 5468.75
3 7 2 5468.75
4 7 2 5468.75
5 12 14 292.969
6 7 2 5468.75
7 7 2 5468.75
8 7 2 5468.75
9 7 10 5468.75
10 7 2 5468.75
11 7 2 5468.75
12 8 14 3125
13 7 8 5468.75
14 7 2 5468.75
15 7 2 5468.75
16 7 8 5468.75
17 7 2 5468.75
18 7 2 5468.75
19 12 14 292.969
20 7 2 5468.75
21 7 2 5468.75
22 7 8 5468.75
23 7 2 5468.75
24 7 2 5468.75
25 7 10 5468.75
26 7 2 5468.75
27 12 14 292.969
28 12 14 292.969
29 12 14 292.969
30 7 2 5468.75
31 7 2 5468.75
32 12 14 292.969
33 7 2 5468.75
34 7 2 5468.75
35 12 14 292.969
36 8 14 3125
37 12 14 292.969
38 7 12 5468.75
39 7 12 5468.75
40 7 2 5468.75
41 7 2 5468.75
42 7 2 5468.75
43 7 2 5468.75
44 8 14 3125
45 9 14 1757.81
46 12 14 292.969
47 12 14 292.969
48 12 14 292.969
49 9 14 1757.81
50 10 14 976.562
51 9 14 1757.81
52 12 14 292.969
53 12 14 292.969
54 7 2 5468.75
55 12 14 292.969
56 12 14 292.969
57 9 14 1757.81
58 10 14 976.562
59 7 2 5468.75
