0 7 14 5468.75
1 8 14 3125
2 7 8 5468.75
3 9 14 1757.81
4 7 10 5468.75
5 10 14 976.562
6 8 14 3125
7 10 14 976.562
8 7 14 5468.75
9 7 2 5468.75
10 7 8 5468.75
11 9 12 1757.81
12 10 14 976.562
13 9 14 1757.81
14 10 12 976.562
15 10 14 976.562
16 10 14 976.562
17 10 12 976.562
18 7 2 5468.75
19 10 14 976.562
20 9 14 1757.81
21 9 14 1757.81
22 10 14 976.562
23 9 14 1757.81
24 10 14 976.562
25 10 14 976.562
26 9 14 1757.81
27 10 14 976.562
28 8 14 3125
29 9 14 1757.81
30 9 14 1757.81
31 10 12 976.562
32 10 14 976.562
33 9 14 1757.81
34 9 14 1757.81
35 10 14 976.562
36 8 14 3125
37 10 12 976.562
38 10 14 976.562
39 10 14 976.562
